Timestamp,Your Name,Class,Index Number,I am excited about the skills I learnt during CS,I feel confident in my technical skills,I know how to work through problems when I get stumped,Learning about technology is exciting,I wish I had more opportunities to learn technical skill,I would like to own a Microbit set for my own learning,I would consider using Microbit for my future school projects ,What was your favourite part of the course?,What was your least favourite part of the course?,What could be improved?,I am interested to sign up for Computer Elective Programme (Year 2 - Year 4)
7/23/2018 11:41,Hidden,1D,Hidden,4,4,4,5,4,3,Maybe,Exploring the set,The project,n.a.,Maybe
7/23/2018 11:41,Hidden,1D,Hidden,4,3,4,4,4,3,Maybe,Making my own game,Learning about arrays,Make cs longer,Maybe
7/23/2018 11:41,Hidden,1D,Hidden,5,4,5,5,2,4,Yes,Videos,nothing,More videos,"Yes, But I have Third Lang or other electives"
7/23/2018 11:41,Hidden,1C,Hidden,5,5,5,5,5,5,Yes,"Final project, multiplayer game with Putra",Dismissal :(,Amount of time with the physical micro:bit,Yes
7/23/2018 11:42,Hidden,1C,Hidden,5,5,5,5,5,5,Yes,Playing with Microbit set,microbit is quite limited,Do moway & scratch,"Yes, But I have Third Lang or other electives"
7/23/2018 11:42,Hidden,1D,Hidden,5,5,5,5,5,5,Yes,Everything,Nothing,Giving us our own Micro:Bit,Yes
7/23/2018 11:42,Hidden,1D,Hidden,4,2,3,4,3,4,Maybe,"Homework assignments where we are given a problem to be solved with the use of a microbit, which we must solve.",Nothing,Give us our own micorbit kits!!!! ;),Maybe
7/23/2018 11:42,Hidden,1c,Hidden,4,1,2,4,5,4,Maybe,we tried out many different use of microbits to solve out daily problems,nil,we can have more lessons,Maybe
7/23/2018 11:42,Hidden,1C,Hidden,4,4,4,4,4,4,Maybe,programming games,The project at the end, NIL,Maybe
7/23/2018 11:43,Hidden,1C,Hidden,3,2,2,4,3,2,Maybe,learning to code games,na, na,No
7/23/2018 11:43,Hidden,1D,Hidden,4,3,3,5,5,5,Yes,Learning the different uses of the codes,When I couldn't understand how the code works and how to do the harder homework,Having more time to learn the codes in greater detail and maybe learn more about Javascript too.,"Yes, But I have Third Lang or other electives"
7/23/2018 11:44,Hidden,1C,Hidden,5,5,5,5,5,5,Maybe,Doing multiplayer projects w/ Yu Chen,there wasnt enough time for CS,Add more time for CS! :),"Yes, But I have Third Lang or other electives"
7/23/2018 11:44,Hidden,1D,Hidden,5,4,4,5,5,4,Maybe,Learning about the use for different programming functions,Homework,The duration of the lesson,Maybe
7/23/2018 11:44,Hidden,1C,Hidden,4,2,2,5,5,5,Yes,"Learning about how to program using Javascript, although I did not learn much.",Not learning much,We could be taught more programming and more advanced programming,Yes
7/23/2018 11:44,Hidden,1c,Hidden,5,1,1,5,5,5,Yes,The video on algorhithms,the part when i learnt about arrays.,Everything.,Yes
7/23/2018 15:12,Hidden,1F,Hidden,5,4,4,5,4,5,Maybe,Using the microbit,Nil,Nil,"Yes, But I have Third Lang or other electives"
7/23/2018 15:12,Hidden,1F,Hidden,4,3,3,5,4,5,Yes,Using microbit.,Nothing,Nothing,Yes
7/23/2018 15:12,Hidden,1E,Hidden,4,3,4,5,4,5,Maybe,Learning to code,Nothing,NOTHING :),Maybe
7/23/2018 15:12,Hidden,1F,Hidden,5,4,4,5,4,5,Maybe,Using the microbit,Nil,Nil,"Yes, But I have Third Lang or other electives"
7/23/2018 15:12,Hidden,1F,Hidden,5,3,4,5,5,4,Yes,Coding programmes and games we want,The part where we had to do work,More lessons,Maybe
7/23/2018 15:13,Hidden,1E,Hidden,3,2,2,4,4,3,Maybe,Microbit,Nil,"It's good enough
",Maybe
7/23/2018 15:13,Hidden,1E,Hidden,4,4,3,4,1,5,Maybe,Using microbit,None,Nothing,No
7/23/2018 15:13,Hidden,1F,Hidden,4,3,4,5,5,3,Maybe,Using the actual microbit ,Learning The codes ,More time on practical applications of coding,No
7/23/2018 15:13,Hidden,1E,Hidden,4,3,3,5,4,4,Maybe,The bonus marks,Not knowing how to solve a pooblrm,Having more time to do the project,Maybe
7/23/2018 15:13,Hidden,Y1E,Hidden,4,4,4,5,3,3,Yes,The making of the project ,Nil ,More notes can be created to help students to better understand the course ,Maybe
7/23/2018 15:13,Hidden,1F,Hidden,4,3,4,5,5,5,Maybe,Programming!,The complicated parts,NIL,No
7/23/2018 15:13,Hidden,1E,Hidden,4,4,4,5,4,5,Yes,Using the physical Microbit,Learning difficult codes,Using more features,Maybe
7/23/2018 15:14,Hidden,1F,Hidden,4,4,3,4,3,3,Maybe,I like the teacher,The problems of the codes i don't know how to solve,They could teach methods to solve problems,No
7/23/2018 15:14,Hidden,1f,Hidden,5,4,4,5,5,5,Maybe,Coding,Nil,Nil,"Yes, But I have Third Lang or other electives"
7/23/2018 15:14,Hidden,1F,Hidden,4,3,4,4,3,3,Maybe,Coding games,Reflections.,Nothing,Maybe
7/23/2018 15:16,Hidden,1E,Hidden,4,2,3,4,4,5,Yes,Microbit,None,None,No
