Timestamp,Your Name,Class,Index Number,I am excited about the skills I learnt during CS,I feel confident in my technical skills,I know how to work through problems when I get stumped,Learning about technology is exciting,I wish I had more opportunities to learn technical skill,I would like to own a Microbit set for my own learning,I would consider using Microbit for my future school projects ,What was your favourite part of the course?,What was your least favourite part of the course?,What could be improved?,I am interested to sign up for Computer Elective Programme (Year 2 - Year 4)
3/26/2018 8:53,Hidden,1G,Hidden,3,4,3,4,3,2,No,Making games.,Microbit too small.,Use of microbit.,No
3/26/2018 8:53,Hidden,1G,Hidden,5,5,5,5,5,5,Yes,making the games,nil,everyone gets their own microbit,No
3/26/2018 8:54,Hidden,1H,Hidden,4,3,3,4,4,4,Yes,The microbit assignment at the end of the module,Ceaser cipher,nil,Maybe
3/26/2018 8:54,Hidden,1H,Hidden,4,3,4,5,5,5,Maybe,Creation of the games,-Nil-,-Nil-,No
3/26/2018 8:54,Hidden,1H,Hidden,5,5,4,5,5,5,Maybe,When i was working on the final microbit project,none.,"its perfect
",Maybe
3/26/2018 8:54,Hidden,1G,Hidden,3,3,5,4,4,4,Maybe,-,-,-,Maybe
3/26/2018 8:55,Hidden,1G,Hidden,4,3,2,4,4,4,Maybe,The challenges the teacher assigned.,The part where the students have to present their work.,Let the students present less.,Maybe
3/26/2018 8:55,Hidden,1H,Hidden,5,4,4,5,4,5,Maybe,"making a game
",nil,nil,Maybe
3/26/2018 8:55,Hidden,1G,Hidden,3,2,3,3,3,2,Maybe,making games,Programmes are too complicated,go through programmes more carefully,Maybe
3/26/2018 8:55,Hidden,1G,Hidden,4,3,3,4,5,4,Maybe,The microbit tryouts,The complicated coding,The increase of microbit using,Maybe
3/26/2018 8:56,Hidden,1H,Hidden,1,1,5,1,5,3,No,the part where it ended,all of it,i want to learn using blockly because i can actually get stuff done with it,Maybe
3/26/2018 8:57,Hidden,1G,Hidden,4,2,4,4,5,4,Maybe,Being able to learn how to successfully program a microbit gives a sense of accomplishment.,Being slightly confused about new functions.,More freedom in allowing us to program what we want.,No
3/26/2018 8:57,Hidden,1H,Hidden,4,3,4,5,4,4,Yes,learning about different coding blocks,NA,more hands-on,"Yes, But I have Third Lang or other electives"
3/26/2018 8:57,Hidden,1H,Hidden,4,4,4,5,4,4,Yes,The assignment,N:A,More hands on activies,Maybe
3/26/2018 8:58,Hidden,1H,Hidden,4,3,4,4,4,3,Maybe,The Individual Microbit Project,Learning about Arrays,The other sections in microbit could also be taught,No
3/26/2018 8:58,Hidden,1H,Hidden,4,3,3,4,3,2,Yes,Variables,Arrays,More hands-on activities.,"Yes, But I have Third Lang or other electives"
3/26/2018 8:59,Hidden,1H,Hidden,4,5,4,4,5,2,No,Programming,Finding blocks,Dont use microbit ,Yes
3/26/2018 8:59,Hidden,1H,Hidden,3,1,5,5,3,4,Yes,The project,Making arrays,maybe using some other type of online programming software like Scratch,Maybe
3/26/2018 9:00,Hidden,1G,Hidden,4,2,4,5,4,5,Yes,Creating the bullet game for the assignment (summative),When I met a problem and could not correct it.,I hope that we could get to use more interesting gadgets like the MicroBit.,"Yes, But I have Third Lang or other electives"
